panel,method,station,mae,mse
beijing/legacy_native_h96,gaussian_time_attention,Wanliu,0.96084191350125769,2.4289432387892593
beijing/legacy_native_h96,gaussian_time_attention,Wanshouxigong,0.7950579583977937,1.9144069830929742
beijing/legacy_native_h96,half_input_mix,Aotizhongxin,1.0787222223014168,2.2824178743364838
beijing/legacy_native_h96,half_input_mix,Changping,0.70406641995887242,1.1896524183704891
beijing/legacy_native_h96,half_input_mix,Dingling,0.89365621975195919,1.6129383845920173
beijing/legacy_native_h96,half_input_mix,Dongsi,0.85664571754325147,1.4201449708517508
beijing/legacy_native_h96,half_input_mix,Guanyuan,0.88469743674367429,1.6927224690828433
beijing/legacy_native_h96,half_input_mix,Gucheng,0.90632927357685544,1.6463906019637533
beijing/legacy_native_h96,half_input_mix,Huairou,0.81993186801547002,1.4957169180540355
beijing/legacy_native_h96,half_input_mix,Nongzhanguan,0.85952679498127238,1.455229150092999
beijing/legacy_native_h96,half_input_mix,Shunyi,0.91221865890580034,1.8280135984456967
beijing/legacy_native_h96,half_input_mix,Tiantan,0.82965429951961223,1.8131211879944351
beijing/legacy_native_h96,half_input_mix,Wanliu,0.95077704178491373,2.3687331048593632
beijing/legacy_native_h96,half_input_mix,Wanshouxigong,0.80529969257138723,1.9269838013039606
beijing/legacy_native_h96,half_output_mix,Aotizhongxin,1.0750694001045729,2.2729716268363842
beijing/legacy_native_h96,half_output_mix,Changping,0.70419253834546436,1.1893713511928818
beijing/legacy_native_h96,half_output_mix,Dingling,0.89713509166867378,1.6194703361823872
beijing/legacy_native_h96,half_output_mix,Dongsi,0.85797276461062777,1.4180512647125882
beijing/legacy_native_h96,half_output_mix,Guanyuan,0.87973222024234043,1.6735092741877504
beijing/legacy_native_h96,half_output_mix,Gucheng,0.90945327947747023,1.6620941529071667
beijing/legacy_native_h96,half_output_mix,Huairou,0.81963826764125225,1.4971027534742598
beijing/legacy_native_h96,half_output_mix,Nongzhanguan,0.85691847418406886,1.4537519165328163
beijing/legacy_native_h96,half_output_mix,Shunyi,0.91042087814000072,1.8241605442378999
beijing/legacy_native_h96,half_output_mix,Tiantan,0.82955913340172738,1.8129351146844646
beijing/legacy_native_h96,half_output_mix,Wanliu,0.95248703456711947,2.3753066197122421
beijing/legacy_native_h96,half_output_mix,Wanshouxigong,0.80562154541119291,1.9275666883127183
beijing/legacy_native_h96,half_static_var,Aotizhongxin,1.0185457098156292,1.9572414307133408
beijing/legacy_native_h96,half_static_var,Changping,0.73098577971903222,1.1403591350378159
beijing/legacy_native_h96,half_static_var,Dingling,0.83845884100538248,1.2316816557700077
beijing/legacy_native_h96,half_static_var,Dongsi,0.85426446113311638,1.2507684067324794
beijing/legacy_native_h96,half_static_var,Guanyuan,0.78729056639995409,1.3373746884738513
beijing/legacy_native_h96,half_static_var,Gucheng,0.78518286919441038,1.1269449800674609
beijing/legacy_native_h96,half_static_var,Huairou,0.7728533619782102,1.1448401511760951
beijing/legacy_native_h96,half_static_var,Nongzhanguan,0.75394111949415921,0.9630366342668325
beijing/legacy_native_h96,half_static_var,Shunyi,0.87394389345063639,1.5095791843190489
beijing/legacy_native_h96,half_static_var,Tiantan,0.81872913126486746,1.6166864930640525
beijing/legacy_native_h96,half_static_var,Wanliu,0.90996464681309308,1.9973430470412483
beijing/legacy_native_h96,half_static_var,Wanshouxigong,0.81746133714877034,1.7600416064490538
beijing/legacy_native_h96,half_var_corruption_lora,Aotizhongxin,0.96160612382260724,1.7546602613298419
beijing/legacy_native_h96,half_var_corruption_lora,Changping,0.76917190875970365,1.2485643680284624
beijing/legacy_native_h96,half_var_corruption_lora,Dingling,0.84373239453754301,1.2288606193816787
beijing/legacy_native_h96,half_var_corruption_lora,Dongsi,0.86009481698218704,1.2159715937715248
beijing/legacy_native_h96,half_var_corruption_lora,Guanyuan,0.72742239116575791,1.1461183860212893
beijing/legacy_native_h96,half_var_corruption_lora,Gucheng,0.75714945060341143,0.99786045107890098
beijing/legacy_native_h96,half_var_corruption_lora,Huairou,0.79810108379229616,1.1548000743530744
beijing/legacy_native_h96,half_var_corruption_lora,Nongzhanguan,0.75033665787530113,0.86306272914474325
beijing/legacy_native_h96,half_var_corruption_lora,Shunyi,0.88385952451692151,1.4589341687826831
beijing/legacy_native_h96,half_var_corruption_lora,Tiantan,0.84430955771031213,1.6194367118919051
beijing/legacy_native_h96,half_var_corruption_lora,Wanliu,0.96028586307462172,2.1212794384239229
beijing/legacy_native_h96,half_var_corruption_lora,Wanshouxigong,0.80822714198067858,1.7044045262014089
beijing/legacy_native_h96,half_var_forecast_covariance,Aotizhongxin,1.023326635761763,1.9786097091029056
beijing/legacy_native_h96,half_var_forecast_covariance,Changping,0.73163353873127845,1.1419491962666586
beijing/legacy_native_h96,half_var_forecast_covariance,Dingling,0.83607169691948857,1.2294886633609328
beijing/legacy_native_h96,half_var_forecast_covariance,Dongsi,0.85676936258145109,1.2580170841551062
beijing/legacy_native_h96,half_var_forecast_covariance,Guanyuan,0.79052133628753773,1.3470415713682533
